county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,158,13,25,851.25
Atkinson,48,2,7,576.23
Bacon,113,3,9,990.88
Baker,34,2,10,1091.14
Baldwin,343,26,65,772.04
Banks,88,1,10,440.4
Barrow,326,14,77,377.39
Bartow,478,39,136,431.52
Ben Hill,74,1,8,444.58
Berrien,46,0,3,238.64
Bibb,453,28,131,297.73
Bleckley,45,0,2,350.52
Brantley,56,2,4,291.64
Brooks,68,8,10,432.38
Bryan,74,5,18,189.08
Bulloch,60,2,10,75.5
Burke,121,5,28,541.58
Butts,228,24,27,905.7
Calhoun,132,6,15,2089.6
Camden,62,1,7,114.98
Candler,13,0,3,119.96
Carroll,525,24,100,437.07
Catoosa,132,0,10,191.94
Charlton,32,1,6,241.49
Chatham,501,24,109,171.47
Chattahoochee,48,0,6,446.55
Chattooga,24,2,3,96.91
Cherokee,908,33,135,340.56
Clarke,283,13,45,218.06
Clay,39,2,5,1366.02
Clayton,1221,48,180,400.54
Clinch,58,2,7,871.39
Cobb,3025,174,655,382.63
Coffee,271,15,58,629.62
Colquitt,467,14,40,1028.79
Columbia,248,7,35,156.34
Cook,48,2,9,275.28
Coweta,416,9,51,273.68
Crawford,28,0,4,228.98
Crisp,232,7,38,1040.87
Dade,28,1,3,173.25
Dawson,109,1,17,403.39
DeKalb,3733,119,654,470.65
Decatur,186,5,21,706.63
Dodge,51,2,8,250.18
Dooly,179,12,37,1335.82
Dougherty,1770,148,414,1968.74
Douglas,543,25,123,357.46
Early,238,31,20,2345.75
Echols,117,0,4,2947.85
Effingham,74,1,12,115.58
Elbert,75,0,6,395.88
Emanuel,27,2,5,119.13
Evans,5,0,0,46.79
Fannin,43,1,5,163.37
Fayette,235,13,37,199.93
Floyd,264,15,43,264.22
Forsyth,512,12,68,202.77
Franklin,46,1,8,197.18
Fulton,4519,233,848,411.12
Gilmer,151,0,20,480.63
Glascock,1,0,0,33.06
Glynn,115,1,16,133.65
Gordon,162,16,33,279.07
Grady,105,4,25,427.87
Greene,68,7,19,363.31
Gwinnett,3775,128,623,388.72
Habersham,520,23,71,1135.37
Hall,2467,47,326,1195.55
Hancock,195,23,34,2380.08
Haralson,43,3,11,139.96
Harris,91,5,15,262.16
Hart,30,0,1,114.91
Heard,34,2,6,274.86
Henry,689,22,89,287.24
Houston,366,17,93,233.06
Irwin,28,1,5,296.83
Jackson,184,5,32,246.32
Jasper,36,1,5,253.54
Jeff Davis,37,1,5,244.26
Jefferson,41,1,6,267.75
Jenkins,19,1,5,221.55
Johnson,82,2,12,848.77
Jones,37,0,4,129.41
Lamar,67,2,11,346.31
Lanier,21,2,5,202.88
Laurens,106,1,18,224.12
Lee,361,22,63,1204.5
Liberty,82,0,14,132.46
Lincoln,16,0,6,196.92
Long,16,1,2,80.34
Lowndes,302,4,49,256.2
Lumpkin,99,1,19,292.88
Macon,101,6,34,777.64
Madison,54,1,11,178.94
Marion,57,2,9,687.33
McDuffie,67,5,18,310.23
McIntosh,16,1,2,109.84
Meriwether,85,2,13,404.38
Miller,41,0,3,711.31
Mitchell,409,32,86,1854.37
Monroe,120,9,19,432.79
Montgomery,9,0,1,97.57
Morgan,37,0,5,193.33
Murray,90,1,9,223.54
Muscogee,606,17,95,316.24
Newton,352,11,66,313.3
Non-Georgia Resident,2013,34,124,0
Oconee,116,6,20,277.93
Oglethorpe,61,6,12,400.26
Paulding,328,11,68,190.1
Peach,72,4,20,263.01
Pickens,47,3,13,140.17
Pierce,99,3,21,506.52
Pike,54,2,9,286.32
Polk,118,1,13,271.38
Pulaski,42,2,6,385.57
Putnam,90,9,16,411.24
Quitman,12,1,4,523.1
Rabun,20,1,7,117.74
Randolph,179,19,32,2650.28
Richmond,595,22,166,294.2
Rockdale,285,8,71,300.13
Schley,16,1,7,303.32
Screven,51,3,16,366.91
Seminole,44,2,8,540.54
Spalding,275,22,49,397.92
Stephens,139,2,25,527.96
Stewart,52,1,14,848.43
Sumter,475,44,131,1615.7
Talbot,38,1,13,617.08
Taliaferro,1,0,0,61.27
Tattnall,26,0,3,102.32
Taylor,22,2,8,276.45
Telfair,37,1,7,236.51
Terrell,213,26,49,2515.65
Thomas,324,32,64,729.22
Tift,256,17,52,626.99
Toombs,56,4,10,207.54
Towns,24,1,8,199.43
Treutlen,10,0,1,146.43
Troup,311,11,70,441.67
Turner,118,13,20,1461.12
Twiggs,17,1,5,210.24
Union,44,1,12,173.67
Unknown,1694,1,33,0
Upson,281,34,39,1069.38
Walker,141,0,3,202.56
Walton,265,12,46,276.58
Ware,228,14,52,635.93
Warren,18,0,9,345.49
Washington,74,1,8,364.5
Wayne,19,0,3,63.39
Webster,13,1,4,509.8
Wheeler,13,0,0,164.37
White,101,3,20,318.03
Whitfield,366,7,26,349.66
Wilcox,111,13,18,1262.8
Wilkes,33,1,6,329.54
Wilkinson,69,6,18,773.63
Worth,210,21,39,1042.6
